stationId,stationName,stationLatitude,stationLongitude,parkingQRBikeCnt,parkingELECBikeCnt,parkingTotBikeCnt
ST-1250,1159. 서서울모터리움 앞,37.56585312,126.84659576,1.0,0.0,1.0
ST-1251,1160. 양천향교역 7번출구앞,37.56768036,126.84089661,5.0,0.0,5.0
ST-1252,1161. 강서면허시험장 앞,37.54969406,126.819664,2.0,0.0,2.0
ST-1253,1162. 공항초등학교건너편,37.56267929,126.82047272,19.0,4.0,23.0
ST-1254,1163. 방화동강서기동대앞,37.57049942,126.82008362,34.0,1.0,35.0
ST-1338,1165. 마곡중학교 후문,37.56844711,126.82164764,0.0,0.0,0.0
ST-1351,1166. 강서구립등빛도서관,37.56256866,126.84246063,20.0,3.0,23.0
ST-1352,1167. 마곡수명산파크3단지 교차로,37.55350876,126.8258667,28.0,4.0,32.0
ST-1402,1168. 마곡엠밸리10단지 앞,37.56029129,126.8187561,10.0,1.0,11.0
ST-1506,1169. 염창역 1번 출구,37.54719925,126.87448883,12.0,0.0,12.0
ST-1507,1170. 강서구보건소,37.54917908,126.8687973,1.0,0.0,1.0
ST-1508,1171. 염창동 새마을금고 건너편,37.55004883,126.87316132,3.0,3.0,6.0
ST-1509,1172. 가양3동 주민센터,37.56124878,126.86058044,20.0,0.0,20.0
ST-1510,1173. 강서구청사거리(SH타워),37.55673599,126.85307312,2.0,0.0,2.0
ST-1511,1174. 강서구청사거리(부민병원),37.55661392,126.85116577,11.0,0.0,11.0
ST-1512,1175. 대한항공 인력개발센터,37.55437851,126.85753632,1.0,0.0,1.0
ST-1514,1177. 수명중․고교,37.55010986,126.82367706,45.0,2.0,47.0
ST-1515,1178. 개화산역 2번 출구,37.57247162,126.8061676,4.0,0.0,4.0
ST-1517,1180. 마곡엠밸리 15단지(1502동) 건너편,37.55746841,126.82971954,1.0,0.0,1.0
ST-1518,1181. 농수산식품공사 (강서지사),37.55104446,126.8184967,5.0,0.0,5.0
ST-1519,1182. KBS 스포츠월드,37.55687714,126.84880829,41.0,0.0,41.0
ST-1520,1183. KC 대학교,37.54832077,126.85340118,20.0,0.0,20.0
ST-1645,1184. 마곡13단지,37.55644989,126.815979,61.0,2.0,63.0
ST-1646,1185. 등촌9단지,37.56290054,126.84947205,0.0,0.0,0.0
ST-1647,1186. 송정중학교,37.55472946,126.81609344,12.0,5.0,17.0
ST-1676,1187. 강서수산물도매시장,37.55302048,126.818367,14.0,0.0,14.0
ST-1708,1188. 롯데중앙연구소,37.57138062,126.82833862,3.0,0.0,3.0
ST-1709,1190. 마곡역 교차로(2번출구),37.5605011,126.82665253,21.0,0.0,21.0
ST-1689,"1191. 마곡역 버스정류장(마곡나루역1번출구, 웰튼병원 방면)",37.5602417,126.8271637,0.0,0.0,0.0
ST-1710,1192. 마곡수명산파크 209동 건너편,37.55545044,126.82689667,7.0,2.0,9.0
ST-1688,1193. 마곡센트럴타워 1차,37.55947113,126.83207703,2.0,0.0,2.0
ST-1712,1195. 코오롱One&Only타워,37.56412888,126.83431244,34.0,0.0,34.0
ST-1713,1196. 서울식물원(문화센터) 건너편,37.56824112,126.83583069,17.0,0.0,17.0
ST-1714,1197. 엠펠리체 호텔 건너편,37.5602417,126.8358078,0.0,0.0,0.0
ST-1715,1198. LG 사이언스파크,37.56254959,126.82743835,17.0,0.0,17.0
ST-1694,1199. 우장산역 3번출구,37.54782104,126.83612823,3.0,0.0,3.0
ST-1695,1200. 개화광역환승센터,37.57844925,126.79897308,6.0,0.0,6.0
ST-838,1201. 가락시장역 3번 출구,37.49317932,127.11854553,18.0,0.0,18.0
ST-737,1203. 밀리아나2빌딩 앞,37.49372864,127.12062073,3.0,0.0,3.0
ST-930,1204. 거여역 3번출구,37.49334335,127.14472961,6.0,0.0,6.0
ST-539,1205. 종합운동장역 4번출구,37.51042938,127.07137299,1.0,0.0,1.0
ST-540,1206. 9호선종합운동장역 9번출구,37.51128006,127.07823944,7.0,0.0,7.0
